path_to_img,label
noContact/3694.hdf5,1
noContact/3909.hdf5,1
noContact/5474.hdf5,1
noContact/3082.hdf5,1
contact/3039.hdf5,0
noContact/6010.hdf5,1
contact/2893.hdf5,0
noContact/5138.hdf5,1
contact/1428.hdf5,0
noContact/4920.hdf5,1
contact/871.hdf5,0
contact/2677.hdf5,0
contact/524.hdf5,0
noContact/5687.hdf5,1
noContact/3233.hdf5,1
contact/2087.hdf5,0
noContact/3302.hdf5,1
contact/2960.hdf5,0
contact/1998.hdf5,0
contact/979.hdf5,0
contact/1746.hdf5,0
noContact/3939.hdf5,1
noContact/3225.hdf5,1
contact/3012.hdf5,0
noContact/4944.hdf5,1
noContact/4821.hdf5,1
noContact/5140.hdf5,1
contact/2085.hdf5,0
contact/2036.hdf5,0
contact/765.hdf5,0
contact/2072.hdf5,0
contact/1512.hdf5,0
noContact/3623.hdf5,1
noContact/3793.hdf5,1
noContact/3153.hdf5,1
contact/1151.hdf5,0
noContact/3229.hdf5,1
noContact/4546.hdf5,1
noContact/3982.hdf5,1
noContact/3640.hdf5,1
noContact/6113.hdf5,1
noContact/5651.hdf5,1
noContact/3667.hdf5,1
noContact/5770.hdf5,1
noContact/3989.hdf5,1
noContact/4889.hdf5,1
contact/1670.hdf5,0
contact/142.hdf5,0
noContact/5945.hdf5,1
noContact/4271.hdf5,1
contact/633.hdf5,0
contact/1637.hdf5,0
noContact/3898.hdf5,1
contact/741.hdf5,0
noContact/4759.hdf5,1
noContact/4092.hdf5,1
contact/437.hdf5,0
contact/849.hdf5,0
contact/361.hdf5,0
noContact/4436.hdf5,1
noContact/5854.hdf5,1
contact/2368.hdf5,0
noContact/4446.hdf5,1
contact/1718.hdf5,0
noContact/5719.hdf5,1
noContact/4512.hdf5,1
contact/3040.hdf5,0
contact/1477.hdf5,0
noContact/5947.hdf5,1
contact/175.hdf5,0
noContact/4483.hdf5,1
contact/2558.hdf5,0
noContact/3387.hdf5,1
noContact/4591.hdf5,1
